Id,Attributes,
APP\PREMISES-TRANS\001459, black,  Application
APP\LATE-TEN\001001, black,  Application
APP\PERSONAL-NEW\002129, black,  Application
APP\TEN\007422, black,  Application
APP\PREMISES-VARYDPS\001578, black,  Application
APP\LATE-TEN\001887, black,  Application
APP\TEN\008788, black,  Application
APP\PERSONAL-NEW\002530, black,  Application
APP\PREMISES-VARYDPS\000275, black,  Application
APP\TEN\001960, black,  Application
APP\TEN\011923, black,  Application
Brookfield Primary School, blue,  Premise
APP\TEN\003153, black,  Application
APP\TEN\009856, black,  Application
APP\TEN\012103, black,  Application
APP\PERSONAL-NEW\000828, black,  Application
APP\TEN\005025, black,  Application
APP\PREMISES-TRANS\000916, black,  Application
Retail 24, blue,  Premise
APP\PERSONAL-NEW\000459, black,  Application
APP\PREMISES-NEW\000736, black,  Application
APP\LATE-TEN\000951, black,  Application
APP\PERSONAL-ADD\000297, black,  Application
APP\PERSONAL-CONV\000561, black,  Application
APP\TEN\003984, black,  Application
APP\TEN\008796, black,  Application
2016/3971/TC, black,  Application
APP\TEN\004425, black,  Application
APP\TEN\000238, black,  Application
APP\TEN\001654, black,  Application
APP\TEN\000389, black,  Application
APP\TEN\004892, black,  Application
APP\TEN\002307, black,  Application
APP\PREMISES-CONV\001230, black,  Application
APP\PREMISES-VARY\000764, black,  Application
APP\PREMISES-TRANS\000578, black,  Application
APP\PREMISES-TRANS\000721, black,  Application
APP\PREMISES-VARY(T)\000538, black,  Application
APP\TEN\010087, black,  Application
APP\LATE-TEN\000498, black,  Application
APP\TEN\000688, black,  Application
APP\SE-RENW\00290, black,  Application
2016/6506/TC, black,  Application
APP\TEN\009217, black,  Application
47048, black,  Application
APP\LATE-TEN\001686, black,  Application
APP\LATE-TEN\000523, black,  Application
APP\PREMISES-VARY\000736, black,  Application
APP\TEN\004086, black,  Application
45689, black,  Application
APP\PERSONAL-ADD\000379, black,  Application
APP\PERSONAL-ADD\000823, black,  Application
APP\PREMISES-VARYDPS\002140, black,  Application
APP\PREMISES-TRANS\001251, black,  Application
APP\PERSONAL-ADD\000432, black,  Application
APP\TEN\005038, black,  Application
APP\PREMISES-CONV\000727, black,  Application
APP\PREMISES-TRANS\001211, black,  Application
APP\PERSONAL-ADD\000853, black,  Application
APP\PERSONAL-CONV\001097, black,  Application
APP\TEN\006226, black,  Application
APP\TEN\010083, black,  Application
APP\PREMISES-C-LIC\0089, black,  Application
APP\TEN\002290, black,  Application
APP\PREMISES-TRANS\000997, black,  Application
APP\TEN\006621, black,  Application
APP\PERSONAL-ADD\000065, black,  Application
Bartlett School of Archetecture, blue,  Premise
54600, black,  Application
APP\PREMISES-NEW\000480, black,  Application
APP\TEN\005217, black,  Application
APP\TEN\004179, black,  Application
NOI\00290, black,  Application
APP\TEN\002683, black,  Application
APP\PREMISES-C-PREM\0039, black,  Application
APP\LATE-TEN\001390, black,  Application
APP\PERSONAL-NEW\001287, black,  Application
43603, black,  Application
APP\LATE-TEN\000499, black,  Application
APP\PREMISES-MVARY\00343, black,  Application
APP\PREMISES-VARY\000274, black,  Application
APP\PREMISES-REV\000124, black,  Application
Flight Club Darts Ltd, blue,  Premise
APP\TEN\008676, black,  Application
APP\TEN\006881, black,  Application
APP\PREMISES-VARY\000372, black,  Application
APP\PREMISES-C-LIC\0006, black,  Application
APP\PREMISES-CONV\000395, black,  Application
APP\PREMISES-VARYDPS\002509, black,  Application
APP\PREMISES-VARYDPS\003010, black,  Application
APP\PREMISES-VARY\000177, black,  Application
APP\TEN\008083, black,  Application
APP\PREMISES-VARYDPS\003821, black,  Application
APP\TEN\000002, black,  Application
APP\TEN\008033, black,  Application
APP\TEN\001224, black,  Application
APP\PREMISES-CONV\000265, black,  Application
APP\TEN\013426, black,  Application
APP\TEN\005787, black,  Application
APP\TEN\004518, black,  Application
APP\TEN\004192, black,  Application
APP\TEN\013395, black,  Application
APP\PERSONAL-ADD\000435, black,  Application
APP\TEN\011064, black,  Application
2012/4873/TC, black,  Application
Massage and Special Treatment Bulk Reminder, purple,  Type
APP\PREMISES-VARYDPS\004487, black,  Application
APP\TEN\010123, black,  Application
APP\PREMISES-C-LIC\0133, black,  Application
APP\TEN\002868, black,  Application
APP\PREMISES-VARYDPS\001207, black,  Application
APP\TEN\007722, black,  Application
APP\PERSONAL-NEW\001960, black,  Application
2014/3209/TC, black,  Application
Sam's Supermarket, blue,  Premise
NOI\00098, black,  Application
APP\TEN\002679, black,  Application
Weedington Road Play Centre, blue,  Premise
2009/4708/TC, black,  Application
APP\TEN\006445, black,  Application
32 Russell square, blue,  Premise
Area Around Lauderdale House, blue,  Premise
46063, black,  Application
Wok Inn, blue,  Premise
APP\TEN\002269, black,  Application
2010/2100/TC, black,  Application
APP\PREMISES-VARYDPS\001166, black,  Application
APP\PERSONAL-NEW\001152, black,  Application
APP\TEN\004943, black,  Application
APP\TEN\000498, black,  Application
APP\PREMISES-VARYDPS\003115, black,  Application
APP\PREMISES-TRANS\001407, black,  Application
APP\PERSONAL-NEW\000922, black,  Application
APP\PREMISES-VARYDPS\003873, black,  Application
APP\PREMISES-VARYDPS\001938, black,  Application
APP\PREMISES-CONV\000443, black,  Application
APP\TEN\009629, black,  Application
APP\TEN\004571, black,  Application
APP\PREMISES-C-LIC\0207, black,  Application
APP\PREMISES-NEW\000875, black,  Application
APP\PERSONAL-NEW\001299, black,  Application
APP\PREMISES-MVARY\00398, black,  Application
2011/5888/TC, black,  Application
45247, black,  Application
APP\PREMISES-C-LIC\0318, black,  Application
APP\PERSONAL-NEW\003019, black,  Application
APP\PREMISES-CONV\000210, black,  Application
APP\TEN\000669, black,  Application
APP\PREMISES-VARYDPS\003016, black,  Application
APP\TEN\011556, black,  Application
APP\TEN\004268, black,  Application
APP\PREMISES-MVARY\00413, black,  Application
2013/7313/TC, black,  Application
APP\TEN\004013, black,  Application
APP\PREMISES-VARYDPS\003415, black,  Application
APP\PREMISES-VARYDPS\000340, black,  Application
APP\TEN\013502, black,  Application
APP\TEN\006335, black,  Application
APP\PERSONAL-NEW\001063, black,  Application
Jumanji Pets, blue,  Premise
Umu Restaurant, blue,  Premise
APP\PREMISES-NEW\000026, black,  Application
APP\PREMISES-VARYDPS\002526, black,  Application
APP\TEN\010960, black,  Application
APP\TEN\004002, black,  Application
APP\PREMISES-TRANS\000295, black,  Application
APP\PREMISES-TRANS\000470, black,  Application
APP\TEN\001173, black,  Application
APP\PREMISES-TRANS\001170, black,  Application
NOI\00373, black,  Application
Davy's Bar and Grill Holborn, blue,  Premise
APP\PREMISES-MVARY\00300, black,  Application
APP\PREMISES-VARYDPS\001491, black,  Application
APP\PERSONAL-NEW\002338, black,  Application
APP\PREMISES-VARYDPS\004509, black,  Application
APP\TEN\007063, black,  Application
APP\TEN\007582, black,  Application
APP\TEN\000069, black,  Application
APP\PREMISES-VARY\000207, black,  Application
Red Fish, blue,  Premise
APP\PREMISES-VARY\000452, black,  Application
Trattoria Monte Bianco, blue,  Premise
APP\TEN\003253, black,  Application
APP\PERSONAL-ADD\000127, black,  Application
APP\LATE-TEN\001979, black,  Application
45148, black,  Application
APP\PREMISES-VARYDPS\001438, black,  Application
APP\PREMISES-TRANS\001505, black,  Application
APP\TEN\013196, black,  Application
APP\PREMISES-VARYDPS\003358, black,  Application
APP\TEN\001673, black,  Application
APP\TEN\011405, black,  Application
APP\PERSONAL-ADD\000523, black,  Application
APP\TEN\004720, black,  Application
APP\TEN\007543, black,  Application
APP\TEN\007274, black,  Application
APP\LATE-TEN\002069, black,  Application
APP\PREMISES-VARY\000298, black,  Application
APP\TEN\001495, black,  Application
APP\TEN\003429, black,  Application
APP\TEN\002024, black,  Application
APP\TEN\002534, black,  Application
APP\PREMISES-NEW\001169, black,  Application
2014/5029/TC, black,  Application
APP\LATE-TEN\000205, black,  Application
APP\PERSONAL-ADD\000637, black,  Application
APP\LATE-TEN\001575, black,  Application
APP\PREMISES-VARYDPS\004073, black,  Application
Cittie Of Yorke, blue,  Premise
APP\PREMISES-NEW\000152, black,  Application
APP\PREMISES-NEW\001183, black,  Application
APP\TEN\008133, black,  Application
53034, black,  Application
APP\TEN\002773, black,  Application
APP\TEN\000456, black,  Application
APP\TEN\013588, black,  Application
APP\PREMISES-VARY\000360, black,  Application
APP\TEN\011287, black,  Application
APP\PREMISES-VARY(T)\000514, black,  Application
APP\PREMISES-TRANS\001378, black,  Application
APP\TEN\009971, black,  Application
APP\PREMISES-NEW\000206, black,  Application
APP\PREMISES-VARYDPS\002189, black,  Application
APP\TEN\013182, black,  Application
Gari London, blue,  Premise
APP\TEN\002261, black,  Application
APP\TEN\001751, black,  Application
2013/2207/TC, black,  Application
APP\TEN\004790, black,  Application
GGN\00095, black,  Application
APP\TEN\008584, black,  Application
APP\TEN\000961, black,  Application
SSL-NEW\00057, black,  Application
APP\LATE-TEN\001682, black,  Application
APP\TEN\005401, black,  Application
APP\TEN\002165, black,  Application
"Radisson Blu Edwardian, Kenilworth Hotel", blue,  Premise
APP\TEN\008605, black,  Application
APP\PREMISES-VARYDPS\001725, black,  Application
APP\PREMISES-VARY(T)\000454, black,  Application
APP\TEN\008857, black,  Application
APP\TEN\007955, black,  Application
APP\PREMISES-VARY\000688, black,  Application
APP\PREMISES-MVARY\00275, black,  Application
APP\PREMISES-VARYDPS\003214, black,  Application
APP\PREMISES-NEW\000383, black,  Application
APP\PERSONAL-CONV\000280, black,  Application
APP\PREMISES-VARYDPS\003428, black,  Application
APP\PREMISES-NEW\000514, black,  Application
Upper Crust Platform 8, blue,  Premise
APP\LATE-TEN\002075, black,  Application
Skinners Arms, blue,  Premise
APP\PREMISES-VARYDPS\004133, black,  Application
APP\TEN\009331, black,  Application
F & S Food Bazaar, blue,  Premise
APP\TEN\008817, black,  Application
APP\PERSONAL-ADD\000706, black,  Application
APP\PREMISES-TRANS\001283, black,  Application
APP\TEN\011417, black,  Application
APP\PREMISES-VARYDPS\000215, black,  Application
APP\PREMISES-VARYDPS\004511, black,  Application
42413, black,  Application
GGN\00100, black,  Application
APP\TEN\007771, black,  Application
