Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI
NOI\00051,Notification of Interest,Grand Union (Camden),"102 106 CAMDEN ROAD, LONDON, NW1 9EA",LA2003,Application Approved,No,,,09/02/2011,,,09/02/2010,,,E05000131,Cantelowes,529236.01,184161.88,-0.137842,51.541578,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.541578, -0.137842)",8022,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\005844,Temporary Event Notice,Enterprise,"2 HAVERSTOCK HILL, LONDON, NW3 2BL",LA2003,Application Approved,No,29/11/2010,,,,28/11/2010,26/11/2010,,Camden Town,E05000136,Haverstock,528190.18,184432.25,-0.152816,51.544246,Nearest OS Open Map-Local Building,11/05/2017 07:37:24 PM,"(51.544246, -0.152816)",15577,http://opendatacommunities.org/id/london-borough-council/camden
GGN\00047,Gaming Notification,Admiral Mann,"9 HARGRAVE PLACE, LONDON, N7 0BP",GA2005,Application Approved,No,,,,,,22/12/2009,,,E05000139,Kentish Town,529710.88,185036.15,-0.130676,51.549326,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.549326, -0.130676)",8327,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-C-PREM\0005,Premises - Change of Premises Name,Muya Restaurant,"13 BRECKNOCK ROAD, LONDON, N7 0BL",LA2003,Application Approved In Full,No,19/03/2012,,,,,19/03/2012,,,E05000139,Kentish Town,529743.41,184998.68,-0.130221,51.548982,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.548982, -0.130221)",31848,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\008900,Temporary Event Notice,Lord Stanley,"51 CAMDEN PARK ROAD, LONDON, NW1 9BH",LA2003,Application Rejected,No,,,,,17/12/2012,12/12/2012,18/12/2012,,E05000131,Cantelowes,529789.87,184839.7,-0.12961,51.547542,Nearest OS Open Map-Local Building,11/05/2017 07:37:22 PM,"(51.547542, -0.12961)",12713,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-TRANS\001435,Premises Licence - Transfer Application,Lord Southampton,"2 SOUTHAMPTON ROAD, LONDON, NW5 4HX",LA2003,Application Rejected - Incomplete Documentation,No,,,,,10/03/2016,25/02/2016,01/03/2016,,E05000136,Haverstock,527933.83,185006.47,-0.156302,51.549464,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.549464, -0.156302)",26865,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\013111,Temporary Event Notice,Joe's Southern Table & Bar,"298 302 KENTISH TOWN ROAD, LONDON, NW5 2TG",LA2003,Application Approved,No,01/11/2016,,,,03/11/2016,31/10/2016,,,E05000139,Kentish Town,529038.33,185212.57,-0.140306,51.551065,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.551065, -0.140306)",8908,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\006271,Temporary Event Notice,Stag,"67 FLEET ROAD, LONDON, NW3 2QU",LA2003,Application Approved,No,28/03/2011,,,,25/03/2011,23/03/2011,,,E05000134,Gospel Oak,527549.85,185427.77,-0.161684,51.553337,Nearest OS Open Map-Local Building,11/05/2017 07:37:23 PM,"(51.553337, -0.161684)",15170,http://opendatacommunities.org/id/london-borough-council/camden
APP\LATE-TEN\001478,Late Temporary Event Notice,Round Falafel,"1A BELMONT STREET, LONDON, NW1 8HJ",LA2003,Application Approved,No,23/11/2015,,,,26/11/2015,22/11/2015,,Camden Town,E05000136,Haverstock,528257.51,184405.88,-0.151855,51.543994,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.543994, -0.151855)",32840,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\000334,Temporary Event Notice,Unicorn,"227 CAMDEN ROAD, LONDON, NW1 9AA",LA2003,Application Approved,No,16/05/2006,,,,12/05/2006,10/05/2006,,,E05000139,Kentish Town,529772.57,184964.12,-0.129813,51.548664,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.548664, -0.129813)",20769,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\003155,Temporary Event Notice,Garden Gate,"14 SOUTH END ROAD, LONDON, NW3 2QE",LA2003,Application Rejected,No,,,,,18/12/2008,16/12/2008,17/12/2008,,E05000134,Gospel Oak,527274.81,185572.58,-0.165596,51.554701,Nearest OS Open Map-Local Building,11/05/2017 07:37:25 PM,"(51.554701, -0.165596)",18197,http://opendatacommunities.org/id/london-borough-council/camden
GGN\00105,Gaming Notification,Nisa,"25 AGAR GROVE, LONDON, NW1 9SL",GA2005,Application Approved,No,,,,,,13/11/2008,,,E05000131,Cantelowes,529635.05,184383.15,-0.13201,51.543475,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.543475, -0.13201)",8271,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\005916,Temporary Event Notice,William Ellis School,"1 HIGHGATE ROAD, LONDON, NW5 1JY",LA2003,Application Rejected,No,,,,,10/12/2010,08/12/2010,10/12/2010,,E05000139,Kentish Town,528923.29,185300.87,-0.141932,51.551885,Nearest OS Open Map-Local Building,11/05/2017 07:37:24 PM,"(51.551885, -0.141932)",15496,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-CONV\000761,Premises - Conversion of Licence,Belgo Noord & Belgo Rapido,"72  73 CHALK FARM ROAD, LONDON, NW1 8AN",LA2003,Application Approved,No,01/09/2005,,,,26/08/2005,28/07/2005,,Camden Town,E05000136,Haverstock,528327.65,184392.87,-0.150849,51.543861,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.543861, -0.150849)",31108,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\002219,Temporary Event Notice,Pizza East/Chicken Shop (formerly Grand Union - Highgate),"53  79 HIGHGATE STUDIOS HIGHGATE ROAD, LONDON, NW5 1TL",LA2003,Application Rejected - Incomplete Documentation,No,,,,,22/03/2008,20/03/2008,27/03/2008,,E05000139,Kentish Town,528765.7,185557.75,-0.144109,51.55423,Nearest OS Open Map-Local Building,11/05/2017 07:37:25 PM,"(51.55423, -0.144109)",19031,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-NEW\000247,Premises - New Licence,Pizza Pleeze,"163 FORTESS ROAD, LONDON, NW5 2HR",LA2003,Application Rejected - Incomplete Documentation,No,,,,,01/02/2006,04/01/2006,11/01/2006,,E05000139,Kentish Town,529086.03,185849.19,-0.139385,51.556776,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.556776, -0.139385)",29743,http://opendatacommunities.org/id/london-borough-council/camden
APP\LATE-TEN\002078,Late Temporary Event Notice,Eleanor Primary School,"ELEANOR PALMER PRIMARY SCHOOL LUPTON STREET, LONDON, NW5 2JA",LA2003,Application Rejected,No,,,,,20/03/2017,15/03/2017,16/03/2017,,E05000139,Kentish Town,529119.07,185634.55,-0.138987,51.554839,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.554839, -0.138987)",32273,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\002675,Temporary Event Notice,Monkey Chews,"2 QUEEN'S CRESCENT, LONDON, NW5 4EP",LA2003,Application Approved,No,26/09/2008,,,,13/09/2008,11/09/2008,,,E05000136,Haverstock,528095.6,184786.12,-0.15405,51.547448,Nearest OS Open Map-Local Building,11/05/2017 07:37:25 PM,"(51.547448, -0.15405)",18645,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\009637,Temporary Event Notice,The Oxford Pub,"256 KENTISH TOWN ROAD, LONDON, NW5 2AA",LA2003,Application Approved,No,07/10/2013,,,,09/10/2013,04/10/2013,,,E05000139,Kentish Town,529028.15,185105.34,-0.140492,51.550104,Nearest OS Open Map-Local Building,11/05/2017 07:37:22 PM,"(51.550104, -0.140492)",12066,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-REV\000103,Premises - Review of Licence,Sir Robert Peel,"108 MALDEN ROAD, LONDON, NW5 4DA",LA2003,Review Ended - Conditions Modified on Licence,Yes,,,,26/09/2013,20/08/2013,23/07/2013,,,E05000134,Gospel Oak,528172.82,185024.79,-0.15285,51.549575,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.549575, -0.15285)",28273,http://opendatacommunities.org/id/london-borough-council/camden
APP\LATE-TEN\001257,Late Temporary Event Notice,Haverstock School,"24 HAVERSTOCK SCHOOL HAVERSTOCK HILL, LONDON, NW3 2BQ",LA2003,Application Approved,No,20/05/2015,,,,22/05/2015,19/05/2015,,Camden Town,E05000136,Haverstock,528121.72,184523.75,-0.153769,51.545084,Nearest OS Open Map-Local Building,11/05/2017 07:37:32 PM,"(51.545084, -0.153769)",33043,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-VARYDPS\000906,Premises - Variation of DPS,The Monarch,"40  42 CHALK FARM ROAD, LONDON, NW1 8BG",LA2003,Application Approved In Full,No,23/01/2008,,,,23/01/2008,09/01/2008,,Camden Town,E05000136,Haverstock,528500.65,184316.98,-0.148383,51.54314,Nearest OS Open Map-Local Building,11/05/2017 07:37:28 PM,"(51.54314, -0.148383)",25471,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-VARY\000658,Premises Licence -  Variation Application,Colonel Fawcett,"1 RANDOLPH STREET, LONDON, NW1 0SS",LA2003,Application Partially Approved,No,19/01/2012,,,01/12/2011,03/11/2011,06/10/2011,,,E05000131,Cantelowes,529363.05,184171.91,-0.136007,51.541639,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.541639, -0.136007)",21480,http://opendatacommunities.org/id/london-borough-council/camden
GPL-VARY\00007,Premises Licence -  Variation Application,Cashino (formerly Agora 1),"297 KENTISH TOWN ROAD, LONDON, NW5 2TJ",GA2005,Application Withdrawn,No,,,,01/12/2009,22/12/2008,,,,E05000139,Kentish Town,528976.64,185045.35,-0.141256,51.549577,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.549577, -0.141256)",8122,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-NEW\000188,Premises - New Licence,The Falkland Stores,"71 FALKLAND ROAD, LONDON, NW5 2XB",LA2003,Application Rejected - Incomplete Documentation,No,,,,,05/12/2005,07/11/2005,11/11/2005,,E05000139,Kentish Town,529362.32,185312.02,-0.135599,51.551885,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.551885, -0.135599)",29796,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\007548,Temporary Event Notice,Colonel Fawcett,"1 RANDOLPH STREET, LONDON, NW1 0SS",LA2003,Application Approved,No,09/02/2012,,,,05/02/2012,03/02/2012,,,E05000131,Cantelowes,529363.05,184171.91,-0.136007,51.541639,Nearest OS Open Map-Local Building,11/05/2017 07:37:23 PM,"(51.541639, -0.136007)",13999,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-C-PREM\0010,Premises - Change of Premises Name,Express Food and Wine,"379 KENTISH TOWN ROAD, LONDON, NW5 2TJ",LA2003,Application Approved In Full,No,02/08/2012,,,,,25/07/2012,,,E05000139,Kentish Town,528986.57,185239.77,-0.141042,51.551322,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.551322, -0.141042)",31843,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\006560,Temporary Event Notice,02 Forum,"9  17 HIGHGATE ROAD, LONDON, NW5 1JY",LA2003,Application Approved,No,21/06/2011,,,,19/06/2011,17/06/2011,,,E05000139,Kentish Town,528923.29,185300.87,-0.141932,51.551885,Nearest OS Open Map-Local Building,11/05/2017 07:37:23 PM,"(51.551885, -0.141932)",14904,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\012891,Temporary Event Notice,The Marathon,"87 CHALK FARM ROAD, LONDON, NW1 8AR",LA2003,Application Approved,No,03/09/2016,,,,30/08/2016,25/08/2016,,Camden Town,E05000136,Haverstock,528257.51,184405.88,-0.151855,51.543994,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.543994, -0.151855)",9113,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\010158,Temporary Event Notice,Joe's Southern Table & Bar,"298 302 KENTISH TOWN ROAD, LONDON, NW5 2TG",LA2003,Application Approved,No,18/03/2014,,,,18/03/2014,13/03/2014,,,E05000139,Kentish Town,529038.33,185212.57,-0.140306,51.551065,Nearest OS Open Map-Local Building,11/05/2017 07:37:22 PM,"(51.551065, -0.140306)",11582,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\001015,Temporary Event Notice,Cantelowes Skateboard Park,"CANTELOWES GARDENS CAMDEN ROAD,",LA2003,Application Rejected,No,,,,,24/01/2007,22/01/2007,26/01/2007,,E05000131,Cantelowes,529523.98,184757.7,-0.133473,51.546866,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.546866, -0.133473)",20150,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\012445,Temporary Event Notice,Old Oak,"1 MANSFIELD ROAD, LONDON, NW3 2JD",LA2003,Application Rejected - Incomplete Documentation,No,,,,,29/02/2016,24/02/2016,24/02/2016,,E05000134,Gospel Oak,528279.2,185599.66,-0.151107,51.554717,Nearest OS Open Map-Local Building,11/05/2017 07:37:21 PM,"(51.554717, -0.151107)",9510,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\010155,Temporary Event Notice,Joe's Southern Table & Bar,"298 302 KENTISH TOWN ROAD, LONDON, NW5 2TG",LA2003,Application Approved,No,18/03/2014,,,,18/03/2014,13/03/2014,,,E05000139,Kentish Town,529038.33,185212.57,-0.140306,51.551065,Nearest OS Open Map-Local Building,11/05/2017 07:37:22 PM,"(51.551065, -0.140306)",11585,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\005013,Temporary Event Notice,Made in Brasil Boteco (formerly Coco Bamboo),"48 CHALK FARM ROAD, LONDON, NW1 8AJ",LA2003,Application Approved,No,13/05/2010,,,,14/05/2010,12/05/2010,,Camden Town,E05000136,Haverstock,528500.65,184316.98,-0.148383,51.54314,Nearest OS Open Map-Local Building,11/05/2017 07:37:24 PM,"(51.54314, -0.148383)",16356,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\011322,Temporary Event Notice,Cantelowes Gardens & Busby Place,"CANTELOWES GARDENS CAMDEN ROAD,",LA2003,Application Approved,No,17/03/2015,,,,19/03/2015,16/03/2015,,,E05000131,Cantelowes,529523.98,184757.7,-0.133473,51.546866,Nearest OS Open Map-Local Building,11/05/2017 07:37:21 PM,"(51.546866, -0.133473)",10535,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-VARYDPS\001165,Premises - Variation of DPS,Stag,"67 FLEET ROAD, LONDON, NW3 2QU",LA2003,Application Rejected - Incomplete Documentation,No,,,,,10/09/2008,27/08/2008,29/08/2008,,E05000134,Gospel Oak,527549.85,185427.77,-0.161684,51.553337,Nearest OS Open Map-Local Building,11/05/2017 07:37:28 PM,"(51.553337, -0.161684)",25230,http://opendatacommunities.org/id/london-borough-council/camden
APP\LATE-TEN\000994,Late Temporary Event Notice,Made in Brasil Boteco (formerly Coco Bamboo),"48 CHALK FARM ROAD, LONDON, NW1 8AJ",LA2003,Application Approved,No,03/11/2014,,,,05/11/2014,31/10/2014,,Camden Town,E05000136,Haverstock,528500.65,184316.98,-0.148383,51.54314,Nearest OS Open Map-Local Building,11/05/2017 07:37:32 PM,"(51.54314, -0.148383)",33293,http://opendatacommunities.org/id/london-borough-council/camden
2012/3123/TC,Table and Chairs,Meadows,"235 Kentish Town Road, London, NW5 2JT",TC,Final Decision,0,17/09/2012,,17/07/2013,,,11/06/2012,,,E05000139,Kentish Town,528951.56,184884.61,-0.141677,51.548138,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.548138, -0.141677)",35161,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\007832,Temporary Event Notice,Stag,"67 FLEET ROAD, LONDON, NW3 2QU",LA2003,Application Approved,No,19/04/2012,,,,20/04/2012,18/04/2012,,,E05000134,Gospel Oak,527549.85,185427.77,-0.161684,51.553337,Nearest OS Open Map-Local Building,11/05/2017 07:37:23 PM,"(51.553337, -0.161684)",13730,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\012461,Temporary Event Notice,CAMDEN SCHOOL FOR GIRLS,"CAMDEN SCHOOL FOR GIRLS SANDALL ROAD, LONDON, NW5 2DB",LA2003,Application Approved,No,03/03/2016,,,,07/03/2016,02/03/2016,,,E05000131,Cantelowes,529442.33,184663.58,-0.134684,51.546039,Nearest OS Open Map-Local Building,11/05/2017 07:37:21 PM,"(51.546039, -0.134684)",9493,http://opendatacommunities.org/id/london-borough-council/camden
APP\LATE-TEN\001774,Late Temporary Event Notice,Haverstock School,"24 HAVERSTOCK SCHOOL HAVERSTOCK HILL, LONDON, NW3 2BQ",LA2003,Application Approved,No,05/06/2016,,,,08/06/2016,03/06/2016,,Camden Town,E05000136,Haverstock,528121.72,184523.75,-0.153769,51.545084,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.545084, -0.153769)",32559,http://opendatacommunities.org/id/london-borough-council/camden
SSL-NEW\00134,SSL - New Registration,Gingerbread,"53  79 HIGHGATE STUDIOS HIGHGATE ROAD, LONDON, NW5 1TL",GA2005,Application Approved,No,26/07/2013,,26/07/2014,,,,,,E05000139,Kentish Town,528765.7,185557.75,-0.144109,51.55423,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.55423, -0.144109)",7578,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\009212,Temporary Event Notice,The Monarch,"40  42 CHALK FARM ROAD, LONDON, NW1 8BG",LA2003,Application Approved,No,08/05/2013,,,,10/05/2013,07/05/2013,,Camden Town,E05000136,Haverstock,528500.65,184316.98,-0.148383,51.54314,Nearest OS Open Map-Local Building,11/05/2017 07:37:22 PM,"(51.54314, -0.148383)",12430,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\003898,Temporary Event Notice,Pizza East/Chicken Shop (formerly Grand Union - Highgate),"53  79 HIGHGATE STUDIOS HIGHGATE ROAD, LONDON, NW5 1TL",LA2003,Application Approved,No,16/09/2009,,,,12/09/2009,10/09/2009,,,E05000139,Kentish Town,528765.7,185557.75,-0.144109,51.55423,Nearest OS Open Map-Local Building,11/05/2017 07:37:24 PM,"(51.55423, -0.144109)",17473,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-TRANS\000111,Premises Licence - Transfer Application,Chicago Fried Chicken and Ribs,"138 FORTESS ROAD, LONDON, NW5 2HP",LA2003,Application Rejected - Incomplete Documentation,No,,,,,20/09/2006,06/09/2006,08/09/2006,,E05000139,Kentish Town,529147.5,185781.26,-0.138523,51.556151,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.556151, -0.138523)",28108,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-TRANS\000368,Premises Licence - Transfer Application,Chopra Newsagents Limited,"6 MURRAY STREET, LONDON, NW1 9RE",LA2003,Application Approved In Full,No,21/07/2008,,,,11/07/2008,27/06/2008,,,E05000131,Cantelowes,529598.47,184363.41,-0.132544,51.543306,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.543306, -0.132544)",27871,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-NEW\001175,Premises - New Licence,Camden New Town Community Fesitval,"156 ST PAUL'S CRESCENT, LONDON, NW1 9XZ",LA2003,Application Approved In Full,No,09/06/2012,,,,08/06/2012,11/05/2012,,,E05000131,Cantelowes,529871.54,184153.63,-0.128686,51.541358,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.541358, -0.128686)",28950,http://opendatacommunities.org/id/london-borough-council/camden
APP\LATE-TEN\001591,Late Temporary Event Notice,Acland Burghley School,"93 ACLAND BURGHLEY SCHOOL BURGHLEY ROAD, LONDON, NW5 1UJ",LA2003,Application Approved,No,13/01/2016,,,,18/01/2016,13/01/2016,,,E05000139,Kentish Town,529024.18,185916.43,-0.140252,51.557394,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.557394, -0.140252)",32732,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\008201,Temporary Event Notice,Co-Operative Group Food Limited,"250 254 KENTISH TOWN ROAD, LONDON, NW5 2AB",LA2003,Application Approved,No,18/07/2012,,,,11/07/2012,06/07/2012,,,E05000139,Kentish Town,529016.07,185010.54,-0.140701,51.549255,Nearest OS Open Map-Local Building,11/05/2017 07:37:22 PM,"(51.549255, -0.140701)",13378,http://opendatacommunities.org/id/london-borough-council/camden
APP\LATE-TEN\001216,Late Temporary Event Notice,Colonel Fawcett,"1 RANDOLPH STREET, LONDON, NW1 0SS",LA2003,Application Approved,No,22/04/2015,,,,24/04/2015,21/04/2015,,,E05000131,Cantelowes,529363.05,184171.91,-0.136007,51.541639,Nearest OS Open Map-Local Building,11/05/2017 07:37:32 PM,"(51.541639, -0.136007)",33082,http://opendatacommunities.org/id/london-borough-council/camden
051261,Mail Forwarding Registration,Catalogue Shop,"94 Queen's Crescent, London, NW5 4DY",N/A,Open,No,,,,,,17/02/2015,,,E05000136,Haverstock,528294.02,185057.4,-0.151091,51.54984,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.54984, -0.151091)",35683,http://opendatacommunities.org/id/london-borough-council/camden
NOI\00191,Notification of Interest,Grand Union (Camden),"102 106 CAMDEN ROAD, LONDON, NW1 9EA",LA2003,Application Approved,No,,,06/02/2014,,,06/02/2013,,,E05000131,Cantelowes,529236.01,184161.88,-0.137842,51.541578,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.541578, -0.137842)",7888,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\010327,Temporary Event Notice,Ingestre Road Community Centre,"INGESTRE ROAD COMMUNITY CENTRE INGESTRE ROAD, LONDON, NW5 1UX",LA2003,Application Approved,No,09/05/2014,,,,13/05/2014,08/05/2014,,,E05000139,Kentish Town,528843.63,185701.53,-0.142933,51.555504,Nearest OS Open Map-Local Building,11/05/2017 07:37:22 PM,"(51.555504, -0.142933)",11426,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-VARYDPS\001718,Premises - Variation of DPS,Nando's,"227 KENTISH TOWN ROAD, LONDON, NW5 2JU",LA2003,Application Approved In Full,No,24/05/2010,,,,26/05/2010,12/05/2010,,,E05000139,Kentish Town,528951.56,184884.61,-0.141677,51.548138,Nearest OS Open Map-Local Building,11/05/2017 07:37:28 PM,"(51.548138, -0.141677)",24713,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-PROV\000007,Premises - Provisional Statement,Off Licence TBC,"1 MANSFIELD ROAD, LONDON, NW3 2JD",LA2003,Application Withdrawn,No,,,,,05/06/2006,08/05/2006,,,E05000134,Gospel Oak,528279.2,185599.66,-0.151107,51.554717,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.554717, -0.151107)",28361,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-VARY(T)\000558,Premises - Variation of Licence (Transition),Vine,"86 HIGHGATE ROAD, LONDON, NW5 1PB",LA2003,Application Partially Approved,Yes,23/09/2005,,,23/09/2005,29/08/2005,01/08/2005,,,E05000139,Kentish Town,528724.43,185624.2,-0.14468,51.554836,Nearest OS Open Map-Local Building,11/05/2017 07:37:28 PM,"(51.554836, -0.14468)",26324,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\005726,Temporary Event Notice,Colonel Fawcett,"1 RANDOLPH STREET, LONDON, NW1 0SS",LA2003,Application Approved,No,15/11/2010,,,,15/11/2010,13/11/2010,,,E05000131,Cantelowes,529363.05,184171.91,-0.136007,51.541639,Nearest OS Open Map-Local Building,11/05/2017 07:37:24 PM,"(51.541639, -0.136007)",15691,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-CONV\000842,Premises - Conversion of Licence,Grape Sense,"CHALK FARM PARADE ADELAIDE ROAD, LONDON, NW3 2BN",LA2003,Application Approved,No,27/08/2005,,,,26/08/2005,29/07/2005,,Camden Town,E05000136,Haverstock,528106.45,184420.08,-0.154027,51.544156,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.544156, -0.154027)",31035,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\002891,Temporary Event Notice,Admiral Mann,"9 HARGRAVE PLACE, LONDON, N7 0BP",LA2003,Application Approved,No,14/11/2008,,,,15/11/2008,13/11/2008,,,E05000139,Kentish Town,529710.88,185036.15,-0.130676,51.549326,Nearest OS Open Map-Local Building,11/05/2017 07:37:25 PM,"(51.549326, -0.130676)",18451,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\001012,Temporary Event Notice,London Irish Centre,"50  52 LONDON IRISH CENTRE CAMDEN SQUARE, LONDON, NW1 9XB",LA2003,Application Approved,No,23/01/2007,,,,21/01/2007,19/01/2007,,,E05000131,Cantelowes,529622.44,184427.6,-0.132175,51.543877,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.543877, -0.132175)",20153,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-VARYDPS\003970,Premises - Variation of DPS,The Oxford Pub,"256 KENTISH TOWN ROAD, LONDON, NW5 2AA",LA2003,Application Approved In Full,No,15/03/2016,,,,24/03/2016,10/03/2016,,,E05000139,Kentish Town,529028.15,185105.34,-0.140492,51.550104,Nearest OS Open Map-Local Building,11/05/2017 07:37:27 PM,"(51.550104, -0.140492)",22601,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-TRANS\001255,Premises Licence - Transfer Application,Jays News Food & Wine,"128 CAMDEN ROAD, LONDON, NW1 9EE",LA2003,Application Approved In Full,No,03/07/2014,,,,03/07/2014,19/06/2014,,,E05000131,Cantelowes,529276.25,184266.47,-0.137223,51.542509,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.542509, -0.137223)",27042,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\004767,Temporary Event Notice,Made in Brasil Boteco (formerly Coco Bamboo),"48 CHALK FARM ROAD, LONDON, NW1 8AJ",LA2003,Application Approved,No,11/03/2010,,,,11/03/2010,09/03/2010,,Camden Town,E05000136,Haverstock,528500.65,184316.98,-0.148383,51.54314,Nearest OS Open Map-Local Building,11/05/2017 07:37:24 PM,"(51.54314, -0.148383)",16590,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\007692,Temporary Event Notice,Drama Centre London Ltd,"176 PRINCE OF WALES ROAD, LONDON, NW5 3PT",LA2003,Application Approved,No,21/03/2012,,,,15/03/2012,13/03/2012,,,E05000136,Haverstock,528149.59,184653.17,-0.15332,51.54624,Nearest OS Open Map-Local Building,11/05/2017 07:37:23 PM,"(51.54624, -0.15332)",13866,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-NEW\000215,Premises - New Licence,The Falkland Stores,"71 FALKLAND ROAD, LONDON, NW5 2XB",LA2003,Application Rejected,Yes,,,,12/01/2006,20/12/2005,22/11/2005,01/02/2006,,E05000139,Kentish Town,529362.32,185312.02,-0.135599,51.551885,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.551885, -0.135599)",29772,http://opendatacommunities.org/id/london-borough-council/camden
