Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI
APP\TEN\005811,Temporary Event Notice,Stag,"67 FLEET ROAD, LONDON, NW3 2QU",LA2003,Application Withdrawn,No,24/11/2010,,,,24/11/2010,22/11/2010,,,E05000134,Gospel Oak,527549.85,185427.77,-0.161684,51.553337,Nearest OS Open Map-Local Building,11/05/2017 07:37:24 PM,"(51.553337, -0.161684)",15604,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\003474,Temporary Event Notice,White Horse,"154 156 FLEET ROAD, LONDON, NW3 2QX",LA2003,Application Approved,No,17/04/2009,,,,05/04/2009,03/04/2009,,,E05000134,Gospel Oak,527311.32,185537.58,-0.165083,51.554378,Nearest OS Open Map-Local Building,11/05/2017 07:37:25 PM,"(51.554378, -0.165083)",17888,http://opendatacommunities.org/id/london-borough-council/camden
APP\LATE-TEN\000110,Late Temporary Event Notice,Fiddlers Elbow,"1 MALDEN ROAD, LONDON, NW5 3HS",LA2003,Application Rejected - Incomplete Documentation,No,,,,,13/09/2012,09/09/2012,,,E05000136,Haverstock,528302.9,184639.18,-0.151116,51.54608,Nearest OS Open Map-Local Building,11/05/2017 07:37:32 PM,"(51.54608, -0.151116)",34104,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-NEW\000269,Premises - New Licence,Oddbins,"240 KENTISH TOWN ROAD, LONDON, NW5 2AB",LA2003,Application Withdrawn,No,,,,,24/02/2006,27/01/2006,,,E05000139,Kentish Town,529016.07,185010.54,-0.140701,51.549255,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.549255, -0.140701)",29723,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\003123,Temporary Event Notice,Nisa (formerly Leighton Arms),"101 BRECKNOCK ROAD, LONDON, N7 0DA",LA2003,Application Approved,No,12/12/2008,,,,13/12/2008,11/12/2008,,,E05000139,Kentish Town,529549.72,185368.07,-0.132877,51.552346,Nearest OS Open Map-Local Building,11/05/2017 07:37:25 PM,"(51.552346, -0.132877)",18231,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\001186,Temporary Event Notice,Spring Studios,"10 SPRING HOUSE SPRING PLACE, LONDON, NW5 3BH",LA2003,Application Approved,No,29/03/2007,,,,28/03/2007,26/03/2007,,,E05000134,Gospel Oak,528502.77,185056.03,-0.148083,51.549781,Nearest OS Open Map-Local Building,11/05/2017 07:37:25 PM,"(51.549781, -0.148083)",19991,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-CONV\000479,Premises - Conversion of Licence,Sam's Supermarket,"78 ST PAUL'S CRESCENT, LONDON, NW1 9XZ",LA2003,Application Approved,No,25/07/2005,,,,23/07/2005,24/06/2005,,,E05000131,Cantelowes,529835.71,184222.88,-0.129177,51.541989,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.541989, -0.129177)",31363,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\003952,Temporary Event Notice,London Irish Centre,"50  52 LONDON IRISH CENTRE CAMDEN SQUARE, LONDON, NW1 9XB",LA2003,Application Approved,No,06/10/2009,,,,20/09/2009,18/09/2009,,,E05000131,Cantelowes,529622.44,184427.6,-0.132175,51.543877,Nearest OS Open Map-Local Building,11/05/2017 07:37:24 PM,"(51.543877, -0.132175)",17417,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-VARYDPS\002580,Premises - Variation of DPS,Unicorn,"227 CAMDEN ROAD, LONDON, NW1 9AA",LA2003,Application Approved In Full,No,22/11/2012,,,,16/11/2012,02/11/2012,,,E05000139,Kentish Town,529772.57,184964.12,-0.129813,51.548664,Nearest OS Open Map-Local Building,11/05/2017 07:37:27 PM,"(51.548664, -0.129813)",23896,http://opendatacommunities.org/id/london-borough-council/camden
APP\LATE-TEN\000066,Late Temporary Event Notice,The Marathon,"87 CHALK FARM ROAD, LONDON, NW1 8AR",LA2003,Application Rejected,No,,,,,25/07/2012,20/07/2012,20/07/2012,Camden Town,E05000136,Haverstock,528257.51,184405.88,-0.151855,51.543994,Nearest OS Open Map-Local Building,11/05/2017 07:37:32 PM,"(51.543994, -0.151855)",34148,http://opendatacommunities.org/id/london-borough-council/camden
