,Origin-Destination,Premise,pathid,latitude,longitude,Received Date
74,Destination,"Proud  Camden, The Horse Hospital","2012_Proud  Camden, The Horse Hospital_Chester Arms",51.542256,-0.14816,2012-09-14
75,Origin,Chester Arms,"2012_Proud  Camden, The Horse Hospital_Chester Arms",51.527791,-0.14463099999999998,2012-01-24
76,Destination,Mela,2012_Mela_Chester Arms,51.51386,-0.127887,2012-07-06
77,Origin,Chester Arms,2012_Mela_Chester Arms,51.527791,-0.14463099999999998,2012-01-24
78,Destination,Prince Of Wales,2012_Prince Of Wales_Chester Arms,51.570890000000006,-0.148929,2012-07-02
79,Origin,Chester Arms,2012_Prince Of Wales_Chester Arms,51.527791,-0.14463099999999998,2012-01-24
80,Destination,Golden Lion,2012_Golden Lion_Chester Arms,51.539006,-0.135735,2012-01-26
81,Origin,Chester Arms,2012_Golden Lion_Chester Arms,51.527791,-0.14463099999999998,2012-01-24
82,Destination,Brasserie Blanc,2012_Brasserie Blanc_Chester Arms,51.518432000000004,-0.135121,2012-07-06
83,Origin,Chester Arms,2012_Brasserie Blanc_Chester Arms,51.527791,-0.14463099999999998,2012-01-24
84,Destination,Bounce,2012_Bounce_Chester Arms,51.518529,-0.108519,2012-05-09
85,Origin,Chester Arms,2012_Bounce_Chester Arms,51.527791,-0.14463099999999998,2012-01-24
86,Destination,Senor Ceviche (formerly known as The Barnyard),2012_Senor Ceviche (formerly known as The Barnyard)_Chester Arms,51.518959,-0.134555,2012-07-06
87,Origin,Chester Arms,2012_Senor Ceviche (formerly known as The Barnyard)_Chester Arms,51.527791,-0.14463099999999998,2012-01-24
88,Destination,Compagnie des Vins Surnaturel,2012_Compagnie des Vins Surnaturel_Chester Arms,51.514446,-0.126545,2012-07-06
89,Origin,Chester Arms,2012_Compagnie des Vins Surnaturel_Chester Arms,51.527791,-0.14463099999999998,2012-01-24
90,Destination,Cross Keys,2012_Cross Keys_Chester Arms,51.514406,-0.12488599999999998,2012-07-06
91,Origin,Chester Arms,2012_Cross Keys_Chester Arms,51.527791,-0.14463099999999998,2012-01-24
92,Destination,Red Rooms,2012_Red Rooms_Chester Arms,51.51668,-0.119209,2012-06-07
93,Origin,Chester Arms,2012_Red Rooms_Chester Arms,51.527791,-0.14463099999999998,2012-01-24
94,Destination,Souk Restaurant,2012_Souk Restaurant_Chester Arms,51.514446,-0.126545,2012-07-06
95,Origin,Chester Arms,2012_Souk Restaurant_Chester Arms,51.527791,-0.14463099999999998,2012-01-24
96,Destination,Royal College Of Physicians Of London,2015_Royal College Of Physicians Of London_Somerstown Coffee House,51.52628,-0.14485699999999999,2015-11-20
97,Origin,Somerstown Coffee House,2015_Royal College Of Physicians Of London_Somerstown Coffee House,51.529990000000005,-0.130767,2015-02-06
98,Destination,CVS,2015_CVS_Somerstown Coffee House,51.514446,-0.126545,2015-07-14
99,Origin,Somerstown Coffee House,2015_CVS_Somerstown Coffee House,51.529990000000005,-0.130767,2015-02-06
100,Destination,Timberyard,2015_Timberyard_Somerstown Coffee House,51.512865000000005,-0.127574,2015-07-14
101,Origin,Somerstown Coffee House,2015_Timberyard_Somerstown Coffee House,51.529990000000005,-0.130767,2015-02-06
102,Destination,Reverend JW Simpson,2015_Reverend JW Simpson_Somerstown Coffee House,51.519855,-0.135379,2015-07-24
103,Origin,Somerstown Coffee House,2015_Reverend JW Simpson_Somerstown Coffee House,51.529990000000005,-0.130767,2015-02-06
104,Destination,Senor Ceviche (formerly known as The Barnyard),2015_Senor Ceviche (formerly known as The Barnyard)_Somerstown Coffee House,51.518959,-0.134555,2015-07-24
105,Origin,Somerstown Coffee House,2015_Senor Ceviche (formerly known as The Barnyard)_Somerstown Coffee House,51.529990000000005,-0.130767,2015-02-06
106,Destination,Donmar Warehouse Theatre,2015_Donmar Warehouse Theatre_Somerstown Coffee House,51.514056,-0.12601400000000001,2015-07-14
107,Origin,Somerstown Coffee House,2015_Donmar Warehouse Theatre_Somerstown Coffee House,51.529990000000005,-0.130767,2015-02-06
108,Destination,Canela,2015_Canela_Somerstown Coffee House,51.514056,-0.12601400000000001,2015-07-14
109,Origin,Somerstown Coffee House,2015_Canela_Somerstown Coffee House,51.529990000000005,-0.130767,2015-02-06
110,Destination,The Ninth,2015_The Ninth_Somerstown Coffee House,51.518959,-0.134555,2015-07-24
111,Origin,Somerstown Coffee House,2015_The Ninth_Somerstown Coffee House,51.529990000000005,-0.130767,2015-02-06
112,Destination,Balans Restaurant,2015_Balans Restaurant_Somerstown Coffee House,51.513596,-0.127317,2015-07-14
113,Origin,Somerstown Coffee House,2015_Balans Restaurant_Somerstown Coffee House,51.529990000000005,-0.130767,2015-02-06
114,Destination,The 10 Cases (formerly Aziza Cafe),2015_The 10 Cases (formerly Aziza Cafe)_Somerstown Coffee House,51.514406,-0.12488599999999998,2015-07-14
115,Origin,Somerstown Coffee House,2015_The 10 Cases (formerly Aziza Cafe)_Somerstown Coffee House,51.529990000000005,-0.130767,2015-02-06
116,Destination,Bibimbap (previously Mennula),2015_Bibimbap (previously Mennula)_Somerstown Coffee House,51.518432000000004,-0.135121,2015-07-24
117,Origin,Somerstown Coffee House,2015_Bibimbap (previously Mennula)_Somerstown Coffee House,51.529990000000005,-0.130767,2015-02-06
118,Destination,Compagnie des Vins Surnaturel,2015_Compagnie des Vins Surnaturel_Somerstown Coffee House,51.514446,-0.126545,2015-07-14
119,Origin,Somerstown Coffee House,2015_Compagnie des Vins Surnaturel_Somerstown Coffee House,51.529990000000005,-0.130767,2015-02-06
120,Destination,Bunga Bunga (Fomerly The Drury Club Basement),2015_Bunga Bunga (Fomerly The Drury Club Basement)_Somerstown Coffee House,51.51578,-0.12225699999999999,2015-11-27
