,Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI,path,Origin-Destination,PathId
1451,APP\PREMISES-VARY\000557,Premises Licence -  Variation Application,The Pack and Carriage (Formley known as Elixir),"162 EVERSHOLT STREET, LONDON, NW1 1BL",LA2003,Application Approved In Full,Yes,23/07/2010,,,01/07/2010,08/06/2010,2010-11-05,,,E05000143,St Pancras and Somers Town,529417.29,183099.69,-0.13561900000000002,51.531991,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.531991, -0.135619)",21573,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY\000557
1478,APP\PREMISES-VARY\000046,Premises Licence -  Variation Application,The Fitzrovia,"18 GOODGE STREET, LONDON, W1T 2QD",LA2003,Application Rejected,No,,,,,09/11/2005,2005-12-10,02/11/2005,,E05000129,Bloomsbury,529468.36,181750.5,-0.135379,51.519855,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.519855, -0.135379)",22041,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY\000046
1520,APP\PREMISES-VARY\000039,Premises Licence -  Variation Application,Prince Of Wales,"75 REPUBLIC COURT PRINCE OF WALES ROAD, LONDON, NW5 3LT",LA2003,Application Partially Approved,Yes,24/11/2005,,,24/11/2005,04/11/2005,2005-07-10,,,E05000136,Haverstock,528560.84,184626.37,-0.147403,51.545906,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.545906, -0.147403)",22046,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY\000039
1540,APP\PREMISES-VARY\000306,Premises Licence -  Variation Application,The Pineapple,"51 LEVERTON STREET, LONDON, NW5 2NX",LA2003,Application Partially Approved,Yes,11/04/2008,,,29/01/2008,04/12/2007,2007-06-11,,,E05000139,Kentish Town,529047.67,185422.65,-0.140094,51.552951,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.552951, -0.140094)",21801,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY\000306
1581,APP\PREMISES-VARY\000831,Premises Licence -  Variation Application,The Noodle House,"117 SHAFTESBURY AVENUE, LONDON, WC2H 8AD",LA2003,Application Approved In Full,No,10/03/2014,,,,24/02/2014,2014-01-27,,Seven Dials,E05000138,Holborn and Covent Garden,529928.6,181110.66,-0.128985,51.513999,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.513999, -0.128985)",21317,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY\000831
1583,APP\PREMISES-VARY\000493,Premises Licence -  Variation Application,Brookes Brothers Wine Bar & Brasserie,"33 BROOKE STREET, LONDON, EC1N 7RS",LA2003,Application Approved In Full,No,16/09/2009,,,,09/09/2009,2009-12-08,,,E05000138,Holborn and Covent Garden,531153.32,181689.81,-0.11112999999999999,51.518921,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.518921, -0.11113)",21632,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY\000493
1609,APP\PREMISES-VARY\001005,Premises Licence -  Variation Application,Nisa (formerly Leighton Arms),"101 BRECKNOCK ROAD, LONDON, N7 0DA",LA2003,Application Approved In Full,Yes,17/03/2017,,,26/01/2017,03/01/2017,2016-06-12,,,E05000139,Kentish Town,529549.72,185368.07,-0.132877,51.552346,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.552346, -0.132877)",21156,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY\001005
1641,APP\PREMISES-VARY\000975,Premises Licence -  Variation Application,The Oxford Pub,"256 KENTISH TOWN ROAD, LONDON, NW5 2AA",LA2003,Application Approved In Full,No,14/07/2016,,,,12/07/2016,2016-06-14,,,E05000139,Kentish Town,529028.15,185105.34,-0.140492,51.550104,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.550104, -0.140492)",21181,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY\000975
1650,APP\PREMISES-VARY\000763,Premises Licence -  Variation Application,Domino's Pizza,"166 FINCHLEY ROAD, LONDON, NW3 6BP",LA2003,Application Partially Approved,Yes,14/03/2013,,,21/02/2013,31/12/2012,2012-03-12,,,E05000133,Frognal and Fitzjohns,526206.41,184952.7,-0.181221,51.54937,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.54937, -0.181221)",21381,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY\000763
1730,APP\PREMISES-VARY\000502,Premises Licence -  Variation Application,Sainsbury's Supermarkets Ltd,"129 133 KINGSWAY, LONDON, WC2B 6NH",LA2003,Application Partially Approved,Yes,01/12/2009,,,,23/10/2009,2009-09-25,,Seven Dials,E05000138,Holborn and Covent Garden,530478.27,181454.75,-0.120941,51.516965,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.516965, -0.120941)",21624,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY\000502
