,Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI,path,Origin-Destination,PathId
21999,046047,Massage and Special Treatment Renewal,LA Fitness Club,"53-79 Highgate Road, London, NW5 1TL",,Open,No,,,,,,2011-06-14,,,E05000139,Kentish Town,528765.7,185557.75,-0.144109,51.55423,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.55423, -0.144109)",35916,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin046047
22077,045678,Massage and Special Treatment Renewal,Timeless Skincare Clinic,"Thanet Street, London, WC1H 9QA",,Open,No,18/04/2011,,,,,2011-04-18,,,E05000141,King's Cross,530092.63,182639.1,-0.126059,51.527696999999996,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.527697, -0.126059)",35970,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin045678
22147,043426,Massage and Special Treatment Renewal,Alchemy,"Chalk Farm Road, London, NW1 8AH",,Open,No,,,,,,2010-07-20,,Camden Town,E05000130,Camden Town with Primrose Hill,528518.62,184219.15,-0.14816,51.542256,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.542256, -0.14816)",36297,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin043426
22298,044126,Massage and Special Treatment Renewal,Chic Beauty Clinic,"158 Finchley Road, London, NW3 5HH",,Open,No,29/09/2010,,,,,2010-09-23,,,E05000133,Frognal and Fitzjohns,526220.18,184904.94,-0.181039,51.548938,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.548938, -0.181039)",36120,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin044126
22366,045674,Massage and Special Treatment Renewal,LA Fitness Limited,"84 Theobald's Road, London, WC1X 8WA",,Open,No,18/04/2011,,,,,2011-04-18,,,E05000138,Holborn and Covent Garden,530642.09,181876.33,-0.118425,51.520715,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.520715, -0.118425)",35972,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin045674
22670,040563,Massage and Special Treatment Renewal,Hackett's Beauty Studio,"23 Princess Road, London, NW1 8JR",,Open,No,23/06/2009,,,,,2009-03-24,,,E05000130,Camden Town with Primrose Hill,528230.07,183858.26,-0.15245,51.539079,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.539079, -0.15245)",36412,http://opendatacommunities.org/id/london-borough-council/camden,1,Origin,origin040563
22687,045112,Massage and Special Treatment Renewal,Maximum Fitness,"144 Fortess Road, London, NW5 2HP",,Open,No,19/01/2011,,,,,2011-01-19,,,E05000139,Kentish Town,529147.5,185781.26,-0.138523,51.556151,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.556151, -0.138523)",36027,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin045112
23225,045657,Massage and Special Treatment Renewal,Flamin'Eight,"2 Castle Road, London, NW1 8PP",,Open,No,18/04/2011,,,,,2011-04-18,,,E05000130,Camden Town with Primrose Hill,528925.5,184541.67,-0.142178,51.545062,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.545062, -0.142178)",35973,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin045657
23644,045650,Massage and Special Treatment Renewal,Hair & Beauty Kirei,"69 Heath Street, London, NW3 6UG",,Open,No,15/04/2011,,,,,2011-04-15,,,E05000135,Hampstead Town,526359.06,185836.43,-0.178703,51.557278000000004,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.557278, -0.178703)",35975,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin045650
23652,049088,Massage and Special Treatment Renewal,Radiance Beauty Salon,"12 Charlotte Place, London, W1T 1SL",,Open,No,16/04/2013,,,,,2013-04-16,,,E05000129,Bloomsbury,529442.0,181657.07,-0.135793,51.519021,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.519021, -0.135793)",35732,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin049088
23726,052658,Massage and Special Treatment Renewal,Divine Hair Care & Beauty Salon,"68 Queen's Crescent, London, NW5 4EE",,Open,No,08/03/2016,,,,,2016-08-03,,,E05000134,Gospel Oak,528172.82,185024.79,-0.15285,51.549575,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.549575, -0.15285)",35666,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin052658
24391,049222,Massage and Special Treatment Renewal,Oasis Sports Centre,"32 Endell Street, London, WC2H 9AG",,Open,No,06/06/2013,,,,,2013-06-06,,Seven Dials,E05000138,Holborn and Covent Garden,530133.52,181364.62,-0.12594,51.516234000000004,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.516234, -0.12594)",35725,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin049222
24584,048971,Massage and Special Treatment Renewal,LOG SPA,"141-153 Drummond Street, London, NW1 2PB",,Open,No,27/03/2013,,,,,2013-03-27,,,E05000142,Regent's Park,529272.69,182476.31,-0.137931,51.526422,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.526422, -0.137931)",35739,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin048971
25512,048897,Massage and Special Treatment Renewal,Flamin'Eight,"2 Castle Road, London, NW1 8PP",,Open,No,14/03/2013,,,,,2013-03-14,,,E05000130,Camden Town with Primrose Hill,528925.5,184541.67,-0.142178,51.545062,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.545062, -0.142178)",35742,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin048897
25700,048811,Massage and Special Treatment Renewal,The Spa at Chancery Court,"252 High Holborn, London, WC1V 7EN",,Open,No,15/02/2013,,,,,2013-02-15,,,E05000138,Holborn and Covent Garden,530701.27,181520.35,-0.117704,51.517503000000005,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.517503, -0.117704)",35747,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin048811
26070,045148,Massage and Special Treatment Renewal,Frankie Cochrane,"42 Lamb's Conduit Street, London, WC1N 3LJ",,Open,No,20/01/2011,,,,,2011-01-20,,,E05000138,Holborn and Covent Garden,530681.71,181949.46,-0.117827,51.521363,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.521363, -0.117827)",36026,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin045148
26448,045389,Massage and Special Treatment Renewal,Natural Health,"201A Chalk Farm Road, London, NW1 8AF",,Open,No,01/03/2011,,,,,2011-01-03,,Camden Town,E05000130,Camden Town with Primrose Hill,528681.08,184131.14,-0.145851,51.541428,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.541428, -0.145851)",35999,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin045389
26462,040603,Massage and Special Treatment Renewal,Natura Day Spa Ltd,"64A Hampstead High Street, London, NW3 1QH",,Open,No,19/06/2009,,,,,2009-04-22,,,E05000135,Hampstead Town,526385.31,185716.08,-0.178368,51.55619,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.55619, -0.178368)",36409,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin040603
26528,042516,Massage and Special Treatment Renewal,Cleveland Hair & Beauty,"78 Cleveland Street, London, W1T 6ND",,Open,No,19/04/2010,,,,,2010-04-19,,,E05000129,Bloomsbury,529129.59,181981.45,-0.140174,51.522007,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.522007, -0.140174)",36376,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin042516
27569,048999,Massage and Special Treatment Renewal,The Organic Pharmacy,"44 Hampstead High Street, London, NW3 1QG",,Open,No,03/04/2013,,,,,2013-03-04,,,E05000135,Hampstead Town,526411.1,185782.7,-0.177972,51.556783,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.556783, -0.177972)",35737,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin048999
28035,045259,Massage and Special Treatment Renewal,Planet Nails,"2 Plender Street, London, NW1 0JS",,Open,No,03/02/2011,,,,,2011-09-02,,Camden Town,E05000143,St Pancras and Somers Town,529189.11,183601.32,-0.138723,51.536551,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.536551, -0.138723)",36011,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin045259
28409,043906,Massage and Special Treatment Renewal,Greenwich Leisure Limited,"Adelaide Road, London, NW3 3NR",,Open,No,24/08/2010,,,,,2010-08-24,,,E05000144,Swiss Cottage,526804.16,184197.17,-0.172877,51.542446000000005,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.542446, -0.172877)",36177,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin043906
28521,040796,Massage and Special Treatment Renewal,Beauty Nest & Nail Care,"Finchley Road, London, NW3 5EN",,Open,No,,,,,,2009-04-23,,,E05000133,Frognal and Fitzjohns,526627.5,184434.86,-0.175337,51.544622,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.544622, -0.175337)",36407,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin040796
29062,046049,Massage and Special Treatment Renewal,Ginseng,"103-105 Southampton Row, London, WC1B 4HH",,Open,No,15/06/2011,,,,,2011-06-15,,,E05000138,Holborn and Covent Garden,530397.56,181815.73,-0.12197000000000001,51.520227,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.520227, -0.12197)",35915,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin046049
30109,045764,Massage and Special Treatment Renewal,The Beauty Room Daniel Adams Hairdressing,"209 Haverstock Hill, London, NW3 4QG",,Open,No,04/05/2011,,,,,2011-04-05,,,E05000128,Belsize,527266.83,185119.54,-0.165875,51.550631,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.550631, -0.165875)",35960,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin045764
30582,045689,Massage and Special Treatment Renewal,The Organic Pharmacy Ltd,"36 Neal Street, London, WC2H 9PS",,Open,No,19/04/2011,,,,,2011-04-19,,Seven Dials,E05000138,Holborn and Covent Garden,530186.77,181145.01,-0.125254,51.514247999999995,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.514248, -0.125254)",35968,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin045689
31359,048936,Massage and Special Treatment Renewal,Natural Care,"Chalk Farm Road, NW1 8AH",,Open,No,,,,,,2013-03-22,,Camden Town,E05000130,Camden Town with Primrose Hill,528518.62,184219.15,-0.14816,51.542256,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.542256, -0.14816)",35740,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin048936
