,Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI,path,Origin-Destination,PathId
17114,APP\PREMISES-CONV\000775,Premises - Conversion of Licence,Capital Foods,"13 KENTISH TOWN ROAD, LONDON, NW1 8NH",LA2003,Application Approved,No,25/08/2005,,,,24/08/2005,2005-07-26,,Camden Town,E05000130,Camden Town with Primrose Hill,528899.47,183943.05,-0.142772,51.539688,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.539688, -0.142772)",31094,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-CONV\000775
17148,APP\PREMISES-CONV\000456,Premises - Conversion of Licence,Pasta Plus Restaurant,"62 EVERSHOLT STREET, LONDON, NW1 1DA",LA2003,Application Approved,No,04/08/2005,,,,03/08/2005,2005-05-07,,,E05000143,St Pancras and Somers Town,529636.93,182832.57,-0.132553,51.529540000000004,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.52954, -0.132553)",31386,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-CONV\000456
17287,APP\PREMISES-CONV\000501,Premises - Conversion of Licence,Thunderbird,"327 WEST END LANE, LONDON, NW6 1RS",LA2003,Application Approved,No,06/09/2005,,,,11/08/2005,2005-07-13,,,E05000145,West Hampstead,525383.51,185207.22,-0.192992,51.551840000000006,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.55184, -0.192992)",31343,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-CONV\000501
17289,APP\PREMISES-CONV\000373,Premises - Conversion of Licence,Royal National Hotel,"3851 ROYAL NATIONAL HOTEL BEDFORD WAY, LONDON, WC1H 0DG",LA2003,Application Rejected - Incomplete Documentation,No,,,,,28/07/2005,2005-06-29,01/07/2005,,E05000129,Bloomsbury,530006.79,182179.67,-0.12746500000000002,51.523588000000004,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.523588, -0.127465)",31464,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-CONV\000373
17290,APP\PREMISES-CONV\000546,Premises - Conversion of Licence,Daphne Restaurant,"83 BAYHAM STREET, LONDON, NW1 0AG",LA2003,Application Approved,No,19/08/2005,,,,10/08/2005,2005-12-07,,Camden Town,E05000130,Camden Town with Primrose Hill,529027.28,183739.2,-0.141005,51.537827,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.537827, -0.141005)",31300,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-CONV\000546
17299,APP\PREMISES-CONV\000066,Premises - Conversion of Licence,Holborn Whippet (FormerlyFathers Study),"25  27 SICILIAN AVENUE, LONDON, WC1A 2QH",LA2003,Application Approved,No,09/06/2005,,,,08/06/2005,2005-10-05,,Seven Dials,E05000138,Holborn and Covent Garden,530449.24,181640.04,-0.12129000000000001,51.518636,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.518636, -0.12129)",31735,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-CONV\000066
17342,APP\PREMISES-CONV\001131,Premises - Conversion of Licence,Troy Club,"22 HANWAY STREET, LONDON, W1T 1UQ",LA2003,Application Approved,No,20/09/2005,,,,01/09/2005,2005-04-08,,,E05000129,Bloomsbury,529709.49,181430.3,-0.132023,51.516921999999994,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.516922, -0.132023)",30776,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-CONV\001131
17396,APP\PREMISES-CONV\000191,Premises - Conversion of Licence,Fishworks,"57 REGENT'S PARK ROAD, LONDON, NW1 8XD",LA2003,Application Rejected - Incomplete Documentation,No,,,,,29/06/2005,2005-05-31,03/06/2005,,E05000130,Camden Town with Primrose Hill,527831.92,184041.77,-0.158121,51.540818,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.540818, -0.158121)",31633,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-CONV\000191
17428,APP\PREMISES-CONV\000548,Premises - Conversion of Licence,Phoenix Artist Club,"112 PHOENIX THEATRE CHARING CROSS ROAD, LONDON, WC2H 0JP",LA2003,Application Approved,No,16/08/2005,,,,13/08/2005,2005-07-15,,Seven Dials,E05000138,Holborn and Covent Garden,529907.57,181172.8,-0.12926500000000002,51.514562,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.514562, -0.129265)",31298,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-CONV\000548
17471,APP\PREMISES-CONV\000270,Premises - Conversion of Licence,Patara,"82 HAMPSTEAD HIGH STREET, LONDON, NW3 1RE",LA2003,Application Approved,No,09/07/2005,,,,09/07/2005,2005-10-06,,,E05000135,Hampstead Town,526536.69,185629.63,-0.176217,51.555378999999995,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.555379, -0.176217)",31561,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-CONV\000270
