,Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI,path,Origin-Destination,PathId
19925,APP\SE-RENW\00303,Sex Establishment Renewal Application,Spearmint Rhino,"161 TOTTENHAM COURT ROAD, LONDON, W1T 7NN",LA2003,Referred To Committee Hearing,Yes,,,,24/01/2017,23/11/2016,2016-10-26,,,E05000129,Bloomsbury,529383.14,182142.58,-0.136463,51.523398,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.523398, -0.136463)",21089,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\SE-RENW\00303
20135,APP\SE-RENW\00295,Sex Establishment Renewal Application,Griffin,"125 CLERKENWELL ROAD, LONDON, EC1R 5DB",LA2003,Application Approved,No,,,,16/02/2016,05/01/2016,2015-08-12,,,E05000138,Holborn and Covent Garden,531082.83,181956.55,-0.112046,51.521334,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.521334, -0.112046)",21096,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\SE-RENW\00295
20943,APP\SE-RENW\00292,Sex Establishment Renewal Application,Secrets (Eversholt St),"34  38 EVERSHOLT STREET, LONDON, NW1 1DA",LA2003,Application Approved,Yes,,,,,03/11/2015,2015-06-10,,,E05000143,St Pancras and Somers Town,529635.38,182806.0,-0.13258499999999998,51.529302,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.529302, -0.132585)",21099,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\SE-RENW\00292
21721,APP\SE-RENW\00274,Sex Establishment Renewal Application,Secrets (Eversholt St),"34  38 EVERSHOLT STREET, LONDON, NW1 1DA",LA2003,Application Approved,No,16/01/2014,,,16/01/2014,25/11/2013,2013-10-28,,,E05000143,St Pancras and Somers Town,529635.38,182806.0,-0.13258499999999998,51.529302,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.529302, -0.132585)",21113,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\SE-RENW\00274
23680,APP\SE-RENW\00288,Sex Establishment Renewal Application,SimplyPleasure.com,"23 GOODGE STREET, LONDON, W1T 2PL",LA2003,Application Approved,No,28/04/2015,,,28/04/2015,26/03/2015,2015-02-26,,,E05000129,Bloomsbury,529495.9,181707.95,-0.134998,51.519465999999994,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.519466, -0.134998)",21102,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\SE-RENW\00288
23918,APP\SE-RENW\00272,Sex Establishment Renewal Application,Aquila Club (formerly Secrets),"309 FINCHLEY ROAD, LONDON, NW3 6EH",LA2003,Application Approved,No,16/01/2014,,,16/01/2014,25/11/2013,2013-10-28,,,E05000145,West Hampstead,526062.43,185005.7,-0.183277,51.549878,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.549878, -0.183277)",21115,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\SE-RENW\00272
26221,APP\SE-RENW\00282,Sex Establishment Renewal Application,Secrets (Gray's Inn Road),"4 GRAY'S INN ROAD, LONDON, WC1X 8HG",LA2003,Application Approved,No,,,,10/02/2015,18/11/2014,2014-10-21,,,E05000138,Holborn and Covent Garden,531153.32,181689.81,-0.11112999999999999,51.518921,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.518921, -0.11113)",21107,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\SE-RENW\00282
27508,APP\SE-RENW\00290,Sex Establishment Renewal Application,Venus (formerly City Burlesque),"29  35 FARRINGDON POINT FARRINGDON ROAD, LONDON, EC1M 3JF",LA2003,Referred To Committee Hearing,No,,,,08/09/2015,07/07/2015,2015-09-06,,,E05000138,Holborn and Covent Garden,531474.99,181866.79,-0.106431,51.520437,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.520437, -0.106431)",21101,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\SE-RENW\00290
30808,APP\SE-RENW\00264,Sex Establishment Renewal Application,SimplyPleasure.com,"23 GOODGE STREET, LONDON, W1T 2PL",LA2003,Application Approved,No,22/03/2011,,,,21/03/2011,2011-02-21,,,E05000129,Bloomsbury,529495.9,181707.95,-0.134998,51.519465999999994,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.519466, -0.134998)",21120,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\SE-RENW\00264
31053,APP\SE-RENW\00281,Sex Establishment Renewal Application,Venus (formerly City Burlesque),"29  35 FARRINGDON POINT FARRINGDON ROAD, LONDON, EC1M 3JF",LA2003,Application Approved,No,05/08/2014,,,24/07/2014,18/06/2014,2014-05-21,,,E05000138,Holborn and Covent Garden,531474.99,181866.79,-0.106431,51.520437,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.520437, -0.106431)",21108,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\SE-RENW\00281
31729,APP\SE-RENW\00261,Sex Establishment Renewal Application,Soho Original Bookshop (Basement),"23  25 LEATHER LANE, LONDON, EC1N 7TE",LA2003,Application Approved,No,29/03/2010,,,,22/03/2010,2010-02-22,,,E05000138,Holborn and Covent Garden,531237.97,181804.08,-0.10986800000000001,51.519928,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.519928, -0.109868)",21122,http://opendatacommunities.org/id/london-borough-council/camden,1,Origin,originAPP\SE-RENW\00261
32373,APP\SE-RENW\00285,Sex Establishment Renewal Application,Spearmint Rhino,"161 TOTTENHAM COURT ROAD, LONDON, W1T 7NN",LA2003,Application Approved,Yes,,,,29/01/2015,26/11/2014,2014-10-29,,,E05000129,Bloomsbury,529383.14,182142.58,-0.136463,51.523398,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.523398, -0.136463)",21104,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\SE-RENW\00285
33303,APP\SE-RENW\00275,Sex Establishment Renewal Application,Secrets (Parker St),"51 PARKER STREET, LONDON, WC2B 5PS",LA2003,Application Approved,No,16/01/2014,,,16/01/2014,25/11/2013,2013-10-28,,Seven Dials,E05000138,Holborn and Covent Garden,530478.27,181454.75,-0.120941,51.516965,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.516965, -0.120941)",21112,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\SE-RENW\00275
34295,APP\SE-RENW\00270,Sex Establishment Renewal Application,Griffin,"125 CLERKENWELL ROAD, LONDON, EC1R 5DB",LA2003,Application Approved,No,15/01/2014,,,15/01/2014,07/11/2013,2013-10-10,,,E05000138,Holborn and Covent Garden,531082.83,181956.55,-0.112046,51.521334,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.521334, -0.112046)",21117,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\SE-RENW\00270
